external_id,name,bopomofo,pinyin,meaning,synonyms,antonyms,memo
580,"八門五花","ㄅㄚ ㄇㄣˊ ㄨˇ ㄏㄨㄚ","bā mén wǔ huā","比喻花樣繁多，變化多端。","千變萬化、五光十色、形形色色、花樣百出、變化多端、變幻莫測","千篇一律、枯燥乏味「五花八門」及「形形色色」都可用來形容事物面貌的繁複多樣。「五花八門」側重於指同類事物，變化豐富；「形形色色」側重於指各式各樣，類別繁複。五花八門形形色色辨似例句○ㄨ現代人結婚的方式～，千奇百怪，如跳傘結婚、潛水結婚等，創新的勇氣可說是十足。
ㄨ○我們作生意的，顧客至上，自然要與～的人打交道。",
243,"八面玲瓏","ㄌㄧㄥˊ ㄌㄨㄥˊ ㄅㄚ ㄇㄧㄢˋ","líng lóng bā miàn","形容人言行手段，十分巧妙，處世圓融。","八面見光、面面俱到「八面玲瓏」及「面面俱到」都有處事圓滿周到的意思。「八面玲瓏」側重於形容手腕圓融，在任何情況下都能討好，略含貶義；「面面俱到」側重於形容處事態度與方法周到圓滿，不帶褒貶色彩。八面玲瓏面面俱到辨似例句○ㄨ在這件事情上，他處理得非常圓融，真可謂～，面面透光。
ㄨ○在座的人士各黨各派都有，要講得～，恐怕很難。","",
1352,"八達四通","ㄙˋ ㄊㄨㄥ ㄨˇ ㄉㄚˊ","sì tōng wǔ dá","形容交通便利。","四會五達、暢通無阻","山重水複、路絕人稀、斷潢絕港",
64,"拔萃出類","ㄅㄚˊ ㄌㄟˋ ㄔㄠ ㄑㄩㄣˊ","bá lèi chāo qún","形容才能特出，超越眾人。褒義。","出人頭地、佼佼不群、卓爾不群、推群獨步、超群絕倫、頭角崢嶸、鶴立雞群","不稂不莠、碌碌無能「出類拔萃」及「出人頭地」都有超越他人的意思。「出類拔萃」側重於人的才華、能力超越他人，引人注目；「出人頭地」則側重於地位、成就超越他人，獨露頭角。出類拔萃出人頭地辨似例句○ㄨ他的能力絕對是同行中～的！
ㄨ○母親說：「我苦心拉拔你長大，就是希望你能～，好光宗耀祖。」",
937,"霸道橫行","ㄅㄚˋ ㄉㄠˋ ㄏㄥˊ ㄒㄧㄥˊ","bà dào héng xíng","形容凶橫不講理。貶義。","作威作福、為非作歹、胡作非為、專橫跋扈、無法無天、橫行無忌","安分守己、奉公守法、循規蹈矩「作威作福」及「橫行霸道」都有任意妄為的意思。「作威作福」側重於憑藉權勢而膽大妄為；「橫行霸道」側重於蠻橫不講理而為所欲為。作威作福橫行霸道辨似例句○ㄨ這種人對上低聲下氣，對下～，是標準的小人作風。
ㄨ○這些流氓依仗暴力、～的行徑，已引起了公憤。",
393,"伯仲之間","ㄅㄛˊ ㄓㄨㄥˋ ㄐㄧㄢ","bó zhòng jiān","形容人才能相當，不相上下。","不分軒輊、不相上下、平分秋色、勢均力敵、旗鼓相當","大相逕庭、天差地遠、天淵之別、天壤之別、天懸地隔",
2874,"白頭偕老","ㄅㄞˇ ㄋㄧㄢˊ ㄒㄧㄝˊ ㄌㄠˇ","bǎi nián xié lǎo","形容夫妻恩愛到老。","白頭相守、伉儷情深、鳳凰于飛","琵琶別抱、喜新厭舊、勞燕分飛、鳳隻鸞孤、鏡破釵分、露水夫妻",
249,"百發百中","ㄅㄞˇ ㄓㄨㄥˋ ㄅㄞˇ ㄈㄚ","bǎi zhòng bǎi fā","形容料事、用計、施藥等相當準確。","矢無虛發、百步穿楊、彈無虛發、十拿九穩、料事如神","",
2451,"百戰百勝","ㄅㄞˇ ㄓㄢˋ ㄅㄞˇ ㄕㄥˋ","bǎi zhàn bǎi shèng","形容善於作戰，所向無敵。","百戰不殆、攻無不克、所向無敵、戰無不勝","三戰三北、每戰皆北、屢戰屢敗",
748,"悲天憫人","ㄧㄡ ㄊㄧㄢ ㄇㄧㄣˇ ㄖㄣˊ","yōu tiān mǐn rén","憂傷時局多變，哀憐百姓疾苦。","己飢己溺、民胞物與、惻隱之心","幸災樂禍、殘民以逞、漠然置之",
213,"背道而馳","ㄅㄟˋ ㄔˊ ㄩˊ ㄉㄠˋ","bèi chí yú dào","比喻彼此的目標或理想完全相反。","南轅北轍","",
3104,"背水一戰","ㄅㄟˋ ㄕㄨㄟˇ ㄓㄣˋ","bèi shuǐ zhèn","比喻抱著必死的決心，奮戰取勝。","孤注一擲、背城借一、破釜沉舟","臨陣脫逃「孤注一擲」及「背水一戰」都有求取存續的意思。「孤注一擲」側重於使用冒險的手段；「背水一戰」則側重於無退路之下奮勇向戰。孤注一擲背水一戰辨似例句○ㄨ他為了讓公司起死回生，所以將資金～，盡數投入股市。
ㄨ○形勢已不容我軍有後退之路，大家只有～，和敵人拚一死活了！",
744,"包羅萬象","ㄨㄢˋ ㄒㄧㄤˋ ㄅㄠ ㄌㄨㄛˊ","wàn xiàng bāo luó","形容內容豐富，應有盡有。","一應俱全、森羅萬象、無所不包、無所不有、應有盡有","一無所有、空空如也",
501,"抱頭鼠竄","ㄆㄥˇ ㄊㄡˊ ㄕㄨˇ ㄘㄨㄢˋ","pěng tóu shǔ cuàn","形容倉皇逃跑的狼狽樣子。","狼奔豕突、狼奔鼠竄、狼狽而逃、落荒而逃","",
533,"暴殄天物","ㄊㄧㄢˇ ㄊㄧㄢ ㄨˋ","tiǎn tiān wù","比喻糟蹋物力，不知珍惜。","鋪張浪費","克勤克儉、修舊利廢",
5,"班門弄斧","ㄅㄢ ㄇㄣˊ ㄑㄩˇ ㄗㄨㄟˋ","bān mén qǔ zuì","比喻在行家面前賣弄本事，不自量力。貶義。","布鼓雷門","",
153,"半途而廢","ㄅㄢˋ ㄊㄨˊ ㄦˊ ㄅㄚˋ","bàn tú ér bà","比喻做事情有始無終。","中道而廢、半途自畫、有始無終","有始有終、持之以恆、堅持不懈、貫徹始終、鍥而不舍",
752,"半斤八兩","ㄅㄚ ㄌㄧㄤˇ ㄅㄢˋ ㄐㄧㄣ","bā liǎng bàn jīn","比喻彼此相當，不相上下。","不相上下、平分秋色、伯仲之間、勢均力敵、旗鼓相當","天差地遠、天淵之別、天壤之別、判若天淵、相去萬里",
303,"本末倒置","ㄅㄣˇ ㄇㄛˋ ㄉㄠˋ ㄓˋ","běn mò dào zhì","比喻不知事情的輕重緩急。","背本趨末、捨本逐末、輕重倒置","正本溯源、按部就班、循序漸進",
